French,English
partie,part
histoire,history
chercher,search
seulement,only
car,because
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
savais,knew
attention,Warning
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
perdu,lost
première,first
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
parti,left
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
